2026-02-15 14:57:55,945 | INFO | src.data.data_load | Loading data from data/raw/HR_Job_Placement_Dataset.csv
2026-02-15 14:57:56,076 | INFO | src.data.data_load | Data loaded successfully from data/raw/HR_Job_Placement_Dataset.csv, shape: (51500, 26)
2026-02-15 14:57:56,077 | INFO | src.data.data_cleaning | starting data cleaning process....
2026-02-15 14:57:56,207 | INFO | src.data.data_cleaning | Data cleaning completed
2026-02-15 14:57:56,208 | INFO | src.data.data_preprocess | Starting data preprocessing (encoding)....
2026-02-15 14:57:56,266 | INFO | src.data.data_preprocess | Data preprocessing (encoding) completed
2026-02-15 14:57:56,270 | INFO | eda.eda | Starting EDA...
2026-02-15 14:57:56,457 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:57:56,483 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:57:56,567 | INFO | eda.eda | Saved: eda_plots\Interview score vs job acceptance.png
2026-02-15 14:57:56,672 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:57:56,702 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 14:57:56,766 | INFO | eda.eda | Saved: eda_plots\Skills Match Percentage vs Job Placement.png
2026-02-15 14:57:56,929 | INFO | eda.eda | Saved: eda_plots\Acceptance Rate by Company Tier.png
2026-02-15 14:57:57,070 | INFO | eda.eda | Saved: eda_plots\Placement Probability vs Years of Experience.png
2026-02-15 14:57:57,240 | INFO | eda.eda | Saved: eda_plots\Competition level vs job acceptance.png
2026-02-15 14:57:59,212 | INFO | eda.eda | Saved: eda_plots\Correlation Matrix of Numeric Features.png
2026-02-15 14:57:59,213 | INFO | eda.eda | EDA analysis completed successfully
2026-02-15 14:57:59,213 | INFO | src.features.feature_engineering | Starting feature engineering...
2026-02-15 14:57:59,734 | INFO | src.features.feature_engineering | Saved: fe_plots\Experience Category vs Placement Probability.png
2026-02-15 14:58:00,293 | INFO | src.features.feature_engineering | Saved: fe_plots\Academic Performance vs Placement Probability.png
2026-02-15 14:58:00,424 | INFO | src.features.feature_engineering | Saved: fe_plots\Skills match level.png
2026-02-15 14:58:00,554 | INFO | src.features.feature_engineering | Saved: fe_plots\Interview performance category.png
